seunwills,RT @AMADICHIMA: What PDP looted in 16 years has been eclipsed by APC’s only 3 years of looting. They’ve already looted my unborn grandchild…,"What PDP looted in 16 years has been eclipsed by APC’s only 3 years of looting. They’ve already looted my unborn grandchildren’s cash through their 13trillion debt in 3 years with nada to show, give them another 13 years &amp; we may have to auction Nigeria.",Sat Aug 04 09:36:44 +0000 2018
real__indian,"RT @Sujan_Speak: KDSingh of @Alchemist, #MP of @AITCofficial following #NiravModi or #MehulChokshi in looting  &amp; hence flying abroad. One c…","KDSingh of @Alchemist, #MP of @AITCofficial following #NiravModi or #MehulChokshi in looting  &amp; hence flying abroad. One confidant of @MamataOfficial &amp; the other of @narendramodi. Competitive to each other even in patronising corruption to the highest degree. #CronyCapitalism. https://t.co/zcYLexjKMk",Sat Aug 04 09:36:37 +0000 2018
Fraesel,@DayZ were looting BalotaAF in stress test offline but almost all loot were flying and nothing in the buildings? Fix plz xD,,Sat Aug 04 09:36:09 +0000 2018
Count_Melvin,"RT @HoodSocialist: She proudly took money from then president of Haiti, Jean Duvalier, even though he was known for oppressing his own peop…","She proudly took money from then president of Haiti, Jean Duvalier, even though he was known for oppressing his own people &amp; looting Haiti’s treasury of millions of dollars &amp; largely lived off ill-gotten gains.",Sat Aug 04 09:36:06 +0000 2018
ChangeHasComee,RT @bolu_tokede: @ChangeHasComee Why are all those being invited by EFCC having one ailment or the other? They are strong and agile while l…,@ChangeHasComee Why are all those being invited by EFCC having one ailment or the other? They are strong and agile while looting and strength to go abroad to purchase houses here and there! They shouldn’t be allowed to visit any doctor because their looting have caused d death of many people.,Sat Aug 04 09:36:04 +0000 2018
DuruchibuzorE,"Perfect narrative, how can you allocate billion to an untouched project, if that's not an excuse for looting, I will wait till he gives me a better looting idea https://t.co/nrl2r7cxnW",,Sat Aug 04 09:35:57 +0000 2018
purrples,"“We are all free to use our vote to select what makes us happy. I don't abuse anyone over the other cos it's all looting continua. 

Until Nigeria is restructured and free money from oil well is managed...please vote... https://t.co/pZI0GCa92O",,Sat Aug 04 09:35:43 +0000 2018
PeterRayAllison,"@GavThorpeCreate Ada's ""What I did on our holidays"" once  involved killing goblins, ransacking orc lairs and looting bodies...

I included the caveat that we were LARPing...",,Sat Aug 04 09:35:12 +0000 2018
RaghavBadoni,@arif00sheikh @B01Nabarun @GuptaarunArun @rishibagree I know only Narander Modi and i m proud of that man. and mind u m not looting any 1 earning on my own with my hard work,,Sat Aug 04 09:34:50 +0000 2018
ODegads,RT @Asamoh_: Hon. Alfred keter raised a red flag on why he was being removed from labour committee chairmanship. The looting front is via N…,Hon. Alfred keter raised a red flag on why he was being removed from labour committee chairmanship. The looting front is via NSSF and NHIF. Remember Ruto de-whipped even Agriculture committee chair ? Now you understand why #MaizeScandal,Sat Aug 04 09:34:47 +0000 2018
tiyoodi,"PUBG MOBILE EMULATOR TENCENT , Kumpulan Video ngakak dari setiap Gameplay, Lokasi Map baru looting: https://t.co/FAmBa6mWpJ melalui",,Sat Aug 04 09:34:39 +0000 2018
OneAmerica12,@washingtonpost What did you think? They are looting everything ..now watch as they pretend doing some democratic shit  while they robb you dry and call it a success for the American people. Assholes,,Sat Aug 04 09:34:16 +0000 2018
GASPurves,RT @RobertJSomynne: Very impressed with the @NMIreland approach to Irish involvement in British expansion &amp; imperialism. Explicit reference…,Very impressed with the @NMIreland approach to Irish involvement in British expansion &amp; imperialism. Explicit references to looting (not mealy mouthed) &amp; good refocusing on non Europeans in age of industrial empire. Very different to London/Glasgow/Edinburgh museums https://t.co/9eWIbh7hPg,Sat Aug 04 09:32:58 +0000 2018
NamitGoel29,RT @SHADABA14754773: @AtulNegiUK @nitchandra82 @NoidaAuthority @dmnoidacircle @UPGovt @myogiadityanath @dr_maheshsharma @PMOIndia @narendra…,@AtulNegiUK @nitchandra82 @NoidaAuthority @dmnoidacircle @UPGovt @myogiadityanath @dr_maheshsharma @PMOIndia @narendramodi @aajtak @ZeeNews @abpnewstv @noidapolice @SLBWAssociation @ZeeNewsHindi Stop stop looting our hard earned money,Sat Aug 04 09:32:54 +0000 2018
NamitGoel29,RT @AtulNegiUK: @nitchandra82 @NoidaAuthority @dmnoidacircle @UPGovt @myogiadityanath @dr_maheshsharma @PMOIndia @narendramodi @aajtak @Zee…,"@nitchandra82 @NoidaAuthority @dmnoidacircle @UPGovt @myogiadityanath @dr_maheshsharma @PMOIndia @narendramodi @aajtak @ZeeNews @abpnewstv @noidapolice @SLBWAssociation Stop looting our hard earned money.. give us our home or return our money.. plz take hard action against shubhkamna advert and Kindle developers.. noida sector 79.. Lords project..
@PMOIndia @myogiadityanath @NoidaAuthority @ZeeNewsHindi @aajtak",Sat Aug 04 09:32:52 +0000 2018
RavishK99351712,"RT @VishalGaur1111: पीएमओ को पता था मेहुल चोकसी कारोबारियों व बैंकों को चूना लगा रहा है, फिर भी विदेश भागने के लिए दे दी क्लीन चिट👇
मेहुल…","पीएमओ को पता था मेहुल चोकसी कारोबारियों व बैंकों को चूना लगा रहा है, फिर भी विदेश भागने के लिए दे दी क्लीन चिट👇
मेहुल को बैंको का करोड़ो उधार होने के बाद भी क्लीन चिट दी और मोदीजी जनता से कहते रहे न खाउंगा न खाने दूँगा।वाह मोदीजी वाह साथ खड़े होने के लिए
 https://t.co/Okdg4FkJjp",Sat Aug 04 09:32:02 +0000 2018
FrankSeyen,"RT @RealmRoyale: Our PTS is open for the weekend - we encourage players to log in and give us your feedback!

We aim to make adjustments th…","Our PTS is open for the weekend - we encourage players to log in and give us your feedback!

We aim to make adjustments that lead to more excitement when looting and eliminating players.

How to access the PTS: https://t.co/haJOwUOWqg

Patch Notes: https://t.co/yjryZifbr2 https://t.co/NQ2B0gLVUF",Sat Aug 04 09:31:02 +0000 2018
babs_deejay,"RT @segalink: “Only in Nigeria will those whose generation are looting, violating human rights, subjugating the constitution and oppressing…","“Only in Nigeria will those whose generation are looting, violating human rights, subjugating the constitution and oppressing the populace violently, will be blaming it all on the deliberately impoverished youth, who have no idea of what good governance looks like.” -SEGA https://t.co/wRiLtYOuIe",Sat Aug 04 09:30:58 +0000 2018
karachikbhai,"RT @BhittaniKhannnn: ANP in KPK: ""Punjab's elite are looting KPK &amp; not giving us our due rights""

ANP with Punjab's elite* https://t.co/ym5…","ANP in KPK: ""Punjab's elite are looting KPK &amp; not giving us our due rights""

ANP with Punjab's elite* https://t.co/ym5ADV0jsY",Sat Aug 04 09:30:44 +0000 2018
datGuyKOFO,"RT @tosinadeda: The problem with Nigerian politicians is not just corruption, it's lack of the fear of God and disregard for humanity. 
Pol…","The problem with Nigerian politicians is not just corruption, it's lack of the fear of God and disregard for humanity. 
Politicians are corrupt world over, but you don't see them looting funds for schools, roads, healthcare, basic amenities etc.

Nigerian politician loot it all..",Sat Aug 04 09:30:31 +0000 2018
RobertJSomynne,Very impressed with the @NMIreland approach to Irish involvement in British expansion &amp; imperialism. Explicit references to looting (not mealy mouthed) &amp; good refocusing on non Europeans in age of industrial empire. Very different to London/Glasgow/Edinburgh museums https://t.co/9eWIbh7hPg,,Sat Aug 04 09:30:27 +0000 2018
doitagain200322,RT @purrples: My prediction...PDP will hold a credible primaries. Atiku will get the ticket but none will decamp. They will just share the…,My prediction...PDP will hold a credible primaries. Atiku will get the ticket but none will decamp. They will just share the “juicy appointments” before the elections like the colonials shared Africa! 😂😂 Collective Looting is what they do!,Sat Aug 04 09:30:18 +0000 2018
AUNAUNNNnnnnnnn,RT @Kinematographic: @ganblade ในคลิปไม่ใช่ที่ปารีสนะครับ เหตุเกิดที่เกรอนอบล์ (Grenoble) อยู่ทางตะวันออกเฉียงใต้ของฝรั่งเศส ซึ่งอาจจะเป็น…,"@ganblade ในคลิปไม่ใช่ที่ปารีสนะครับ เหตุเกิดที่เกรอนอบล์ (Grenoble) อยู่ทางตะวันออกเฉียงใต้ของฝรั่งเศส ซึ่งอาจจะเป็นข่าวร้ายหนักกว่าเดิม เพราะเกรอนอบล์มีชื่อเสียงว่าเป็นเมืองที่น่าอยู่  
https://t.co/FogpxJSLCQ",Sat Aug 04 09:29:37 +0000 2018
rbr6000,"RT @AshiQuotes: EVMs are being used in Indian elections since 1998. Introduced &amp; used maximum during Cong rule. 
What is the reason that op…","EVMs are being used in Indian elections since 1998. Introduced &amp; used maximum during Cong rule. 
What is the reason that opposition now demanding ballot papers to be used in 2019?
Does it mean Congress won all previous election by rigging EVMs or is looting ballot paper easier?",Sat Aug 04 09:29:32 +0000 2018
Azharkiyaa,"Update: 

Abdi Iley’s youth vigilante group Heego and some refugees in Jigjiga displaced by the recent border clashes between Oromia-Somali region are on looting spree, targeting mainly Highlander owned businesses.... https://t.co/QH98D8oZbW",,Sat Aug 04 09:29:00 +0000 2018
edozie01,"@julietkego Waoooh! This is the time of news we need. Acts of generosity not the mind bugling looting by our ""leaders"".",,Sat Aug 04 09:27:36 +0000 2018
right_winger_,"RT @AgentSaffron: That's why secular liberal elite are against it . Their looting is being shut down by chowkidar Modi.

https://t.co/Fh2gn…","That's why secular liberal elite are against it . Their looting is being shut down by chowkidar Modi.

https://t.co/Fh2gnrXILb",Sat Aug 04 09:27:17 +0000 2018
cowsarevalid,My mood is looting the brother hood of steelship just a few quests before i blast it to pieces,,Sat Aug 04 09:27:13 +0000 2018
hammadDReal,"@mubasherlucman @mariamsmadness Boss they r doing this because they know this is the last time they can do. No more looting no more wastage of our money.
Let the @ImranKhanPTI come and see them going to adyalla InshaAllah",,Sat Aug 04 09:27:04 +0000 2018
bolu_tokede,@ChangeHasComee Why are all those being invited by EFCC having one ailment or the other? They are strong and agile while looting and strength to go abroad to purchase houses here and there! They shouldn’t be allowed to visit any doctor because their looting have caused d death of many people.,,Sat Aug 04 09:26:16 +0000 2018
passagreek,"RT @athyrostomos: The “euro-canadian” wanna-be mayor of #Toronto alongside the neonazi thug of GoldenDawn.

FYI, apart from other crimes, G…","The “euro-canadian” wanna-be mayor of #Toronto alongside the neonazi thug of GoldenDawn.

FYI, apart from other crimes, Golden dawn’s nazis were caught looting the burned houses during the #attica fires.

#PrayforToronto for such hateful political candidates https://t.co/RyiS4NnWIc",Sat Aug 04 09:26:12 +0000 2018
ANJUMSOHAIL16,RT @huma_maqsood: So now it is certified that #PPP and #PMLN are one and the same thing. They have always been hand in glove in looting and…,"So now it is certified that #PPP and #PMLN are one and the same thing. They have always been hand in glove in looting and plundering  #Pakistan 
#ElectionPakistan2018 #OppositionParty",Sat Aug 04 09:26:06 +0000 2018
rajeshvee,"RT @ProudBhagavathi: When your father has made hundreds of crores by looting the Nation, you can afford  to have unlimited supply of Ganja/…","When your father has made hundreds of crores by looting the Nation, you can afford  to have unlimited supply of Ganja/charas/Afeem, you end up believing you are Lord Shiva. 

#LaluYadavsSuputrTejPratapYadav https://t.co/7oBznpJlcw",Sat Aug 04 09:25:47 +0000 2018
isskein,RT @katia0: The true character of the Greek far-right was visible elsewhere. Three #GoldenDawn members were arrested for looting the homes…,"The true character of the Greek far-right was visible elsewhere. Three #GoldenDawn members were arrested for looting the homes of the fire’s victims, while another 15 fascists attacked a group of migrants in #Thessaloniki.
https://t.co/XYeE4E63Py
#Greecefires
#GREECEWILDFIRES",Sat Aug 04 09:24:59 +0000 2018
SomPundit,"Liyuu police (abdi illey dogs ) are in plain clothes and killing non-somalis and looting the banks in Jigjiga city , the oppressors (somalis) are celebrating in their houses !",,Sat Aug 04 09:24:30 +0000 2018
cindylbrown4,"RT @CathyCarterKY: “. .when you invest your pension money in hedge funds, you might be paying a hundred times the cost or more, .. underper…","“. .when you invest your pension money in hedge funds, you might be paying a hundred times the cost or more, .. underperforming the market,.. supporting political movements against you, &amp;you often have to pay. . a bribe..for the privilege of hiring..” https://t.co/eRjSLp0zQ5",Sat Aug 04 09:23:30 +0000 2018
sanjivv5,RT @pete5308: @PiyushGoyal @dir_ed @barandbench @PMOIndia @narendramodi @FinMinIndia @sgurumurthy @MinhazMerchant Hw can  fraudster Jignesh…,@PiyushGoyal @dir_ed @barandbench @PMOIndia @narendramodi @FinMinIndia @sgurumurthy @MinhazMerchant Hw can  fraudster Jignesh Shah escape fm eyes of Govt aftr looting 13K invstrs.R all Babus pliant or moles of UPA era? Modiji needs to answer this Qn. 13 K stand to lose 6000 cr https://t.co/ewAGE0lZ4v,Sat Aug 04 09:23:16 +0000 2018
beebah5,@peterkalusky @bolmatic @Karovoni @officialEFCC Obasanjo instituted EFCC Ogah. He's neither Muslim or a northerner.. It's one of the smartest things he's done. Most EFCC suspects are northerners. and I'm glad there's an institution that checkmates senseless looting of the public treasury. why do you have a a problem with this?,,Sat Aug 04 09:23:06 +0000 2018
purrples,"PDP- “Industrial Scale Looting”
APC- “Micro Scale Looting”
In other words, in Nigerian Politics, 
#LootingIsAHobby!😂🤣",,Sat Aug 04 09:22:46 +0000 2018
arif00sheikh,"@RaghavBadoni @B01Nabarun @GuptaarunArun @rishibagree Puchar Wala bhi mehnat se kamaa k khata hai dusro ko dhoka deke nahi,not ppl like u, got highly qualified looting our own countrys poor ppl,Banks, and flying to other countries damaging systems u better know about 3 modis &amp; many more😅😅😅😅",,Sat Aug 04 09:22:40 +0000 2018
tamil18_raja,"Society is Becoming bad Cunning Country's looting Innocents $ Is Osama Bad or Society ? 
#bbcone #bbcnewsten #CNN @nytimes

https://t.co/KQeczy4kUd",,Sat Aug 04 09:22:37 +0000 2018
demiolowo,"RT @Cicerorian_: Zitta's death is a very painful one. A young, talented, blooming young man. 
Forget the accident or the police looting. Th…","Zitta's death is a very painful one. A young, talented, blooming young man. 
Forget the accident or the police looting. There is a high level of medical negligence in Nigeria. Particularly in Abuja.",Sat Aug 04 09:21:58 +0000 2018
Jefe_says,"RT @jacksonpbn: If the argument is that Buhari has blocked loopholes for looting and sharing of free money, has he used the hitherto free m…","If the argument is that Buhari has blocked loopholes for looting and sharing of free money, has he used the hitherto free money to build the economy, create jobs and build infrastructures? If the answer is no, where then is the free money?",Sat Aug 04 09:20:18 +0000 2018
Dr_Proccoli,RT @HonAbdik: Safaricom Ksh 55bn ($550 million) profits in a third world country like Kenya is unethical! Surely this company charging redi…,Safaricom Ksh 55bn ($550 million) profits in a third world country like Kenya is unethical! Surely this company charging rediculars tariffs to make such a profit is unacceptable. It's time we think of regulating these tariffs. This amounts to looting from our poor people.,Sat Aug 04 09:20:13 +0000 2018
meliorater,RT @RoyOdhiambo12: For those politicians who are SPONSORS to bleached young women/married debutante we know the money you spend on them are…,"For those politicians who are SPONSORS to bleached young women/married debutante we know the money you spend on them are derived from looting!!!

You will be exposed!!!
#IfikieSponsors",Sat Aug 04 09:18:12 +0000 2018
Asamoh_,RT @Asamoh_: Another Kshs 1.7B MoH scandal. How is @UKenyatta fighting corruption? @SicilyKariuki must be relieved off her duties as a CS.…,Another Kshs 1.7B MoH scandal. How is @UKenyatta fighting corruption? @SicilyKariuki must be relieved off her duties as a CS. She is the same lady who presided over Kshs 10.5B NYS scandal. #UhuruAppointees are on a looting spree. @Disembe @amerix @C_NyaKundiH,Sat Aug 04 09:17:40 +0000 2018
Asamoh_,RT @Asamoh_: How can @UKenyatta fight corruption when his own sisters and cousins cat walked with 5B from MoH? The Kshs 10B NYS there is pa…,How can @UKenyatta fight corruption when his own sisters and cousins cat walked with 5B from MoH? The Kshs 10B NYS there is part of criminal enterprise in Jubilee administration. #UhuruAppointees are on a looting Spree @Disembe @C_NyaKundiH,Sat Aug 04 09:16:55 +0000 2018
Asamoh_,"RT @Mukami_Mungai: I repeat here, Kikuyus and Kalenjins will bring this country to its knees through looting. #NYSNewScandal #UntoldStoryOn…","I repeat here, Kikuyus and Kalenjins will bring this country to its knees through looting. #NYSNewScandal #UntoldStoryOnNYSScam #NYSscam",Sat Aug 04 09:16:05 +0000 2018
chibumuo,"What PDP looted in 16 years has been eclipsed by APC’s only 3 years of looting. They’ve already looted my unborn grandchildren’s cash through their 13trillion debt in 3 years with nada to show, give them another 13 years &amp; we may have to auction Nigeria.",,Sat Aug 04 09:15:03 +0000 2018
Angryindianggn,@GauravGogoiAsm @ndtv @republic Many congi including your family mastered this art of looting and stashing aboard. Hence it is natural to see own shadows everywht. Understandable,,Sat Aug 04 09:14:10 +0000 2018
PeeeaaaarL,RT @athii_land: State businesses get awarded to white companies. Whites then loot those tenders with the aim of framing the ANC as a moveme…,State businesses get awarded to white companies. Whites then loot those tenders with the aim of framing the ANC as a movement that doesn't deliver. Blacks have minimal companies operating with SOEs yet when there's looting we almost immediately assume it's the ANC cadres alone.,Sat Aug 04 09:13:01 +0000 2018
Asamoh_,RT @Asamoh_: So @UKenyatta is pegging local oil revenue to Turkana at 5%. They would want 75% in Nairobi for looting. What if oil was disco…,So @UKenyatta is pegging local oil revenue to Turkana at 5%. They would want 75% in Nairobi for looting. What if oil was discovered in Muranga or Nyeri ? Would that percentage be pegged at 5% ? @GovernorNanok don’t sell your people’s resources. @jnangeyo,Sat Aug 04 09:12:56 +0000 2018
devumendra,"RT @srinivasiyc: न खाऊंगा न खाने दूंगा की बात करूंगा लेकिन दोस्त अगर लूट कर के ले जाए तो उसे नहीं रोकूंगा।

https://t.co/1aWIst6bSA","न खाऊंगा न खाने दूंगा की बात करूंगा लेकिन दोस्त अगर लूट कर के ले जाए तो उसे नहीं रोकूंगा।

https://t.co/1aWIst6bSA",Sat Aug 04 09:12:54 +0000 2018
RATIYU,@benmurraybruce The same way you told them when and  your Political Godfathers looting the treasury to save keep in there own country,,Sat Aug 04 09:11:49 +0000 2018
saxenaa14,RT @AffrinNaaz: Gt prepared to vote on ballot papers..in Bihar it's going 2 b a nightmare..looting of booths.killings ill start all ovr aga…,"Gt prepared to vote on ballot papers..in Bihar it's going 2 b a nightmare..looting of booths.killings ill start all ovr again..in Urban areas majority of the ppl I'll nt turn up at the polling booth,Scared of violence..in rural India weakr section I'll nt b allowd to vote..👍",Sat Aug 04 09:11:45 +0000 2018
Asamoh_,RT @Asamoh_: The Big 4 Agenda was a campaign gimmick by @UKenyatta . Basically his big4agenda are 1. Looting / corruption 2. Ethnicity 3. E…,The Big 4 Agenda was a campaign gimmick by @UKenyatta . Basically his big4agenda are 1. Looting / corruption 2. Ethnicity 3. Extra Judicial killings 4. 🍺,Sat Aug 04 09:11:42 +0000 2018
hterwwes,RT @DaEasterner: JUST IN: Nigerian Army Caught On Camera Allegedly Looting Nnamdi Kanu’s House Today [Video] https://t.co/zLJDcK6YDv,JUST IN: Nigerian Army Caught On Camera Allegedly Looting Nnamdi Kanu’s House Today [Video] https://t.co/zLJDcK6YDv,Sat Aug 04 09:10:49 +0000 2018
ataiwos,"@ShehuSani All the political parties and politicians in this country have been cheating on all ordinary citizen for decades, looting the common wealth of all within themselves and you are here talking about injustice. What measures have you take to stop corruption?",,Sat Aug 04 09:09:16 +0000 2018
iLaibaShahid,RT @Khan_PTI512: It should be declared a state where no looter or plunderer would be caught or held accountable. Living in 21st century doe…,"It should be declared a state where no looter or plunderer would be caught or held accountable. Living in 21st century does not mean we should penalize a person for money laundering or looting its public’s money. We must regard a hero as a hero. 
#NawazSharifParZulmKyun",Sat Aug 04 09:08:25 +0000 2018
WaqarKhan6,@ola_supports U guys r simply looting the passengers. It showed me Rs.49 estimated fees before booking the ride including the discount and the invoice is showing something else. @jagograhakjago @JagoGrahakJago_,,Sat Aug 04 09:07:54 +0000 2018
RoyOdhiambo12,"For those politicians who are SPONSORS to bleached young women/married debutante we know the money you spend on them are derived from looting!!!

You will be exposed!!!
#IfikieSponsors",,Sat Aug 04 09:07:19 +0000 2018
ABHISHEKGWAL1,"RT @AapEnvironment: So all of @AUThackeray claims of supporting #SaveAarey are fake. 

MPCB, which comes under @ShivSena Environment Minist…","So all of @AUThackeray claims of supporting #SaveAarey are fake. 

MPCB, which comes under @ShivSena Environment Ministry (@iramdaskadam ) gives go ahead to Metro Shed in Aarey. 
Shivsena and BJP are partners when it comes to looting #Mumbai https://t.co/3A8HcDIJcy",Sat Aug 04 09:06:32 +0000 2018
Asamoh_,RT @Asamoh_: Waking up to another Kshs 2B NCPB scandal and 2B Tree planting scandal launched by @UKenyatta . The looting in Jubilee has rea…,Waking up to another Kshs 2B NCPB scandal and 2B Tree planting scandal launched by @UKenyatta . The looting in Jubilee has reached unprecedented levels. This is now an organized theft and criminal enterprise. @citizentvkenya #powerbreakfast,Sat Aug 04 09:05:29 +0000 2018
zakhele9696,"@MbuyiseniNdlozi @MrSoWhat31 It was correct to call in the army because rioters were looting shops and destroying property, rule of law must be implemented, it’s not SA where people vandalize without repercussions",,Sat Aug 04 09:05:24 +0000 2018
UpendraParsad4,Ab Sare Chor Ek Jhoot hokar Bharat desh ko looting.,,Sat Aug 04 09:04:04 +0000 2018
MuhdMuslimA90,"@MBuhari,YOsinbanjo n Shehu Sani openly declared they assets, no one else in APC n PDP do so the reason isn't constitutional, but looting public treasury that one is constitutional.",,Sat Aug 04 09:03:13 +0000 2018
