Bap455,"RT @MSNBC: Trump claimed he has no ties to Russia, but reporting in a new book by Craig Unger describes Russian mafia-linked money launderi…","Trump claimed he has no ties to Russia, but reporting in a new book by Craig Unger describes Russian mafia-linked money laundering involving Trump properties that goes back to the 1980s.  https://t.co/RDMh0B7Xxr",Sun Aug 19 01:55:15 +0000 2018
sdabney1,RT @scorpio_19_72: @justPam99 @CNN I have been switching back &amp; forth from @CNN and @MSNBC bc of CNNs constant hosting of Rudy. I don't car…,"@justPam99 @CNN I have been switching back &amp; forth from @CNN and @MSNBC bc of CNNs constant hosting of Rudy. I don't care what Rudy has to say...about anything. Hearing that disrespectful, know nothing,  paris denard, I am totally done with CNN.",Sun Aug 19 01:55:14 +0000 2018
eljasamasi,"RT @activist360: I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irr…","I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irrelevant Nazi a platform to spew white supremacism? Have you learned nothing from the hours of free advertising you gave racist, serial lying sociopath Trump?",Sun Aug 19 01:55:13 +0000 2018
elev8torman,"RT @realDonaldTrump: .....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there i…",".....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there is nothing so Fake as CNN &amp; MSNBC, &amp; yet I do not ask that their sick behavior be removed. I get used to it and watch with a grain of salt, or don’t watch at all..",Sun Aug 19 01:55:13 +0000 2018
karisokecamp,RT @TheDemCoalition: VIDEO: @Maddow shows the prevalence of classified intelligence in the #TrumpRussia investigation and notes that the pe…,"VIDEO: @Maddow shows the prevalence of classified intelligence in the #TrumpRussia investigation and notes that the people @realDonaldTrump is threatening with having their security clearance revoked, are those who would need that clearance to testify https://t.co/L0Q3kHHGqE",Sun Aug 19 01:55:12 +0000 2018
ryvresong,RT @amjoyshow: .@NUNBERGSAM: You don't have to be a genius to know Putin wanted #Trump in this election https://t.co/OzDahackun via @amjoys…,.@NUNBERGSAM: You don't have to be a genius to know Putin wanted #Trump in this election https://t.co/OzDahackun via @amjoyshow,Sun Aug 19 01:55:12 +0000 2018
DanielGoodfell6,"RT @SandraTXAS: John O.  Brennan did not have a problem revoking Kris Paronto securty clearance for telling truth about Benghazi

Now we ar…","John O.  Brennan did not have a problem revoking Kris Paronto securty clearance for telling truth about Benghazi

Now we are supposed to care that Brennan can no longer use security clearance status as political cachet on CNN and MSNBC and NYTimes?

Nope...dont care.

#MAGA",Sun Aug 19 01:55:12 +0000 2018
Eaglesbud64,@PWM62 @gmanskigee @WonderDogabides @chrislhayes @MSNBC @SenSanders @HillaryClinton Party of Lincoln? What happened to the party of IKE?,,Sun Aug 19 01:55:08 +0000 2018
growingaway,"RT @thebradfordfile: Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trum…","Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.",Sun Aug 19 01:55:08 +0000 2018
RigatoniW,RT @LeahR77: Where’s all the unified media outrage regarding Alexandria-Cortez BANNING them from campaign events ?NEWS FLASH  #NBC #CNN #MS…,"Where’s all the unified media outrage regarding Alexandria-Cortez BANNING them from campaign events ?NEWS FLASH  #NBC #CNN #MSNBC #ABC THIS is what Communism actually looks like . For all the bashing you do to Trump he doesn’t BAN you, he calls u out to your faces!",Sun Aug 19 01:55:07 +0000 2018
MammaT4,"RT @SandraTXAS: John O.  Brennan did not have a problem revoking Kris Paronto securty clearance for telling truth about Benghazi

Now we ar…","John O.  Brennan did not have a problem revoking Kris Paronto securty clearance for telling truth about Benghazi

Now we are supposed to care that Brennan can no longer use security clearance status as political cachet on CNN and MSNBC and NYTimes?

Nope...dont care.

#MAGA",Sun Aug 19 01:55:07 +0000 2018
Paulphi04137670,@gaharrah @MSNBC Womp womp.,,Sun Aug 19 01:55:06 +0000 2018
PersianKittenz,RT @WakingLifeDream: Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their ba…,"Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their backbones to speak up against somebody who clearly is not carrying out his responsibilities with any sense of purpose and common sense?”

https://t.co/PgxgX7WB68",Sun Aug 19 01:55:06 +0000 2018
BorenDianna,RT @Emolclause: #BREAKING:FINALLY #MSM GETS IT!! #Trump's.@GOP abetters are the BIGGER problem. Hopefully #MSM will soon start putting .@Sp…,"#BREAKING:FINALLY #MSM GETS IT!! #Trump's.@GOP abetters are the BIGGER problem. Hopefully #MSM will soon start putting .@SpeakerRyan.@SenatorCollins.@lisamurkowski and others who should know better ON FULL BLAST!! 

#TheResistance #CNN #MSNBC #FoxNews

https://t.co/cDgbXB51xh",Sun Aug 19 01:55:05 +0000 2018
Sullyanne1,"RT @allanbrauer: Your periodic reminder: @MSNBC wants your #resistance eyeballs, but there's zero transparency on their editorial choices.…","Your periodic reminder: @MSNBC wants your #resistance eyeballs, but there's zero transparency on their editorial choices. Why are their hosts trashing Pelosi? @RichardLui just asked a Dem candidate for Governor about her. Why would anyone think that's a smart question?",Sun Aug 19 01:55:05 +0000 2018
andmaxwasall,RT @SenFeinstein: Brett Kavanaugh praised the dissents that would have overturned Roe v. Wade and barred marriage equality. His views on th…,Brett Kavanaugh praised the dissents that would have overturned Roe v. Wade and barred marriage equality. His views on these fundamental freedoms are no mystery. https://t.co/twU1qvumyR,Sun Aug 19 01:55:01 +0000 2018
morningfog1,RT @amjoyshow: .@NUNBERGSAM: You don't have to be a genius to know Putin wanted #Trump in this election https://t.co/OzDahackun via @amjoys…,.@NUNBERGSAM: You don't have to be a genius to know Putin wanted #Trump in this election https://t.co/OzDahackun via @amjoyshow,Sun Aug 19 01:55:01 +0000 2018
RosslynStudios,Everyone @ArlingtonVA County Fair thinks  #amazonHQ2 coming to NoVa can’t think of anywhere else @JeffBezos would want to relocate to #VirginiaIsForTechies @amazon @apple @gannett @MSNBC @RosslynVA @BallstonBID @ArlChamberVA @ArlCoVAPatch https://t.co/ZL03ajz5od,,Sun Aug 19 01:55:00 +0000 2018
Samarino1776,"RT @realDustinGold: MUST WATCH! Lots of #Breadcrumbs!

Most important part of #SteveBannon #MSNBC interview.

#FakeNews #CIA #OperationMock…","MUST WATCH! Lots of #Breadcrumbs!

Most important part of #SteveBannon #MSNBC interview.

#FakeNews #CIA #OperationMockingbird Media is nervous. Took them awhile to catch on, BUT they think @POTUS #Trump may control #Mueller.

To be continued.

#Qanon #TrumpTweet #WalkAway #MAGA https://t.co/KgHgVxWafu",Sun Aug 19 01:54:59 +0000 2018
OZtheBallerina,RT @amjoyshow: .@NUNBERGSAM: You don't have to be a genius to know Putin wanted #Trump in this election https://t.co/OzDahackun via @amjoys…,.@NUNBERGSAM: You don't have to be a genius to know Putin wanted #Trump in this election https://t.co/OzDahackun via @amjoyshow,Sun Aug 19 01:54:59 +0000 2018
JPritchard596,@MSNBC So black people hating the President isn’t racist? Better check yourself now the mirror.,,Sun Aug 19 01:54:58 +0000 2018
timothylharness,"@gaye_gallops @LeahR77 I never watch his show, if I see him at all I change it. He belongs on MSNBC",,Sun Aug 19 01:54:57 +0000 2018
KeyhrcCatherine,RT @MSNBC: .@maddow shows the prevalence of classified intelligence in the Russia probe and notes that the people Pres. Trump is threatenin…,".@maddow shows the prevalence of classified intelligence in the Russia probe and notes that the people Pres. Trump is threatening with having their security clearance revoked, are those who would need that clearance to testify for the investigation. 

https://t.co/bBFinhnG7i",Sun Aug 19 01:54:57 +0000 2018
ElnesJeannine,"@activist360 @KeWeiss1 @MSNBC No apparently they have not. And the same numbnuts who disparaged Hillary are going after Maxine Waters, Nancy Pelosi and Elisabeth Warren",,Sun Aug 19 01:54:56 +0000 2018
BarbKuebler,@DaddyDaddymac @cathywishart I turned it off last night on MSNBC! Bannon should have never been allowed the air time! Big mistake!! Very disappointing!,,Sun Aug 19 01:54:56 +0000 2018
Zacharey4,@MSNBC @SenBlumenthal Jeff seasons could order a arreast warrent to trump,,Sun Aug 19 01:54:56 +0000 2018
TRAred2011,"RT @thebradfordfile: Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trum…","Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.",Sun Aug 19 01:54:54 +0000 2018
SLReaves,RT @TheDemCoalition: VIDEO: @Maddow shows the prevalence of classified intelligence in the #TrumpRussia investigation and notes that the pe…,"VIDEO: @Maddow shows the prevalence of classified intelligence in the #TrumpRussia investigation and notes that the people @realDonaldTrump is threatening with having their security clearance revoked, are those who would need that clearance to testify https://t.co/L0Q3kHHGqE",Sun Aug 19 01:54:52 +0000 2018
teknoman125,RT @WakingLifeDream: Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their ba…,"Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their backbones to speak up against somebody who clearly is not carrying out his responsibilities with any sense of purpose and common sense?”

https://t.co/PgxgX7WB68",Sun Aug 19 01:54:48 +0000 2018
MillyMidwest,"RT @rogpeck2002: @MarkWarner Really?  My TS clearance was terminated after my service because I no longer worked for the Federal Govt.,  sa…","@MarkWarner Really?  My TS clearance was terminated after my service because I no longer worked for the Federal Govt.,  same should apply to ALL career swamp creatures and if you find work needing it, than re-apply but working for @MSNBC isn't a reason to have one",Sun Aug 19 01:54:48 +0000 2018
PigskinAnnie,RT @kylegriffin1: Fmr. acting CIA Director John McLaughlin says that he looked at Trump's 26-page executive directive to revoke a security…,Fmr. acting CIA Director John McLaughlin says that he looked at Trump's 26-page executive directive to revoke a security clearance and none of 13 reasons provided match up to what the White House said about John Brennan. https://t.co/ESy6aeKHaA,Sun Aug 19 01:54:48 +0000 2018
Kent8360,RT @RealSaavedra: MSNBC panelist suggests Trump wants to round people up and murder them. https://t.co/RiPqZwe6Bd,MSNBC panelist suggests Trump wants to round people up and murder them. https://t.co/RiPqZwe6Bd,Sun Aug 19 01:54:47 +0000 2018
ccanchondo,"RT @realDonaldTrump: .....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there i…",".....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there is nothing so Fake as CNN &amp; MSNBC, &amp; yet I do not ask that their sick behavior be removed. I get used to it and watch with a grain of salt, or don’t watch at all..",Sun Aug 19 01:54:47 +0000 2018
tanyachambers81,"RT @MSNBC: ""We don't need to hear him say the N-word to know he's racist,"" Touré says of the president. https://t.co/J8eiIpjpva","""We don't need to hear him say the N-word to know he's racist,"" Touré says of the president. https://t.co/J8eiIpjpva",Sun Aug 19 01:54:46 +0000 2018
wcjes102,"RT @MSNBC: Joe: ""Everything is a sham that Donald Trump has been saying about immigration."" https://t.co/cqoBeUFzNh","Joe: ""Everything is a sham that Donald Trump has been saying about immigration."" https://t.co/cqoBeUFzNh",Sun Aug 19 01:54:46 +0000 2018
BridgetSmall007,"RT @keithboykin: In MSNBC interview with Rev. Al Sharpton, Virginia Republican Senate nominee and Confederate flag supporter Corey Stewart…","In MSNBC interview with Rev. Al Sharpton, Virginia Republican Senate nominee and Confederate flag supporter Corey Stewart can't name a single black leader in Virginia who supports him. Not one. #AMJOY https://t.co/ipQiT36awL",Sun Aug 19 01:54:46 +0000 2018
ShanniMae7933,RT @PattyArquette: Why aren't you covering the fact that NOT ONE REPUBLICAN has signed on to reauthorize the Violence Against Women Act. #V…,Why aren't you covering the fact that NOT ONE REPUBLICAN has signed on to reauthorize the Violence Against Women Act. #VAWA There are only a couple of legislative weeks left to deal with this. @Lawrence @donlemon @maddow @MSNBC @CBSNews @abcnews @TheTodayShow,Sun Aug 19 01:54:44 +0000 2018
AmoneyResists,"RT @activist360: I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irr…","I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irrelevant Nazi a platform to spew white supremacism? Have you learned nothing from the hours of free advertising you gave racist, serial lying sociopath Trump?",Sun Aug 19 01:54:40 +0000 2018
parlace,RT @boyndog: Dear @MSNBC - Don't you get it? When you invite a RACIST on to argue their point - and you give them 50% of the TV Screen - yo…,"Dear @MSNBC - Don't you get it? When you invite a RACIST on to argue their point - and you give them 50% of the TV Screen - you are saying, without meaning to, that the RACIST ARGUMENT has equal weight to the NON-RACIST ARGUMENT.

It's how your medium works. FIGURE IT OUT.",Sun Aug 19 01:54:39 +0000 2018
ShantaAyub,RT @HolleyA: @olgaNYC1211 Not watching. After @maddow I turned @MSNBC OFF. For shame @AriMelber @TheBeatWithAri #StopBannon #TrumpCrimeFami…,@olgaNYC1211 Not watching. After @maddow I turned @MSNBC OFF. For shame @AriMelber @TheBeatWithAri #StopBannon #TrumpCrimeFamily #PutinsPuppet #TrumpLies #TrumpTaxes #TrumpPutin #PenceKnew #TrumpRussia #TrumpTreason #ImpeachTrump #ImpeachPence,Sun Aug 19 01:54:38 +0000 2018
Angie_B2011,@HungryTrucker @maddow @JohnBrennan @MSNBC https://t.co/63MPRSffFy,,Sun Aug 19 01:54:38 +0000 2018
MarkDeWayne4,"RT @realDustinGold: MUST WATCH! Lots of #Breadcrumbs!

Most important part of #SteveBannon #MSNBC interview.

#FakeNews #CIA #OperationMock…","MUST WATCH! Lots of #Breadcrumbs!

Most important part of #SteveBannon #MSNBC interview.

#FakeNews #CIA #OperationMockingbird Media is nervous. Took them awhile to catch on, BUT they think @POTUS #Trump may control #Mueller.

To be continued.

#Qanon #TrumpTweet #WalkAway #MAGA https://t.co/KgHgVxWafu",Sun Aug 19 01:54:36 +0000 2018
SafarikLarry,"RT @realDonaldTrump: .....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there i…",".....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there is nothing so Fake as CNN &amp; MSNBC, &amp; yet I do not ask that their sick behavior be removed. I get used to it and watch with a grain of salt, or don’t watch at all..",Sun Aug 19 01:54:36 +0000 2018
MelindaLydick,"RT @activist360: I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irr…","I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irrelevant Nazi a platform to spew white supremacism? Have you learned nothing from the hours of free advertising you gave racist, serial lying sociopath Trump?",Sun Aug 19 01:54:36 +0000 2018
toms9965,RT @kylegriffin1: Fmr. acting CIA Director John McLaughlin says that he looked at Trump's 26-page executive directive to revoke a security…,Fmr. acting CIA Director John McLaughlin says that he looked at Trump's 26-page executive directive to revoke a security clearance and none of 13 reasons provided match up to what the White House said about John Brennan. https://t.co/ESy6aeKHaA,Sun Aug 19 01:54:36 +0000 2018
nicshaf,RT @DuttonBooks: From 4 billion in debt to the White House… Watch @craigunger explain @realDonaldTrump's decades-long relationship with the…,From 4 billion in debt to the White House… Watch @craigunger explain @realDonaldTrump's decades-long relationship with the Russians on @TheLastWord with @Lawrence O’Donnell: https://t.co/pvxJidMQRD #TrumpRussia,Sun Aug 19 01:54:34 +0000 2018
Len21878832,"RT @thebradfordfile: Michelle Goldberg 🤡 of the NY Times was challenged on MSNBC that Trump is ""not rounding people up and murdering them w…","Michelle Goldberg 🤡 of the NY Times was challenged on MSNBC that Trump is ""not rounding people up and murdering them without any due process.""

Her reply:

""He'd certainly like to."" 

Trump Derangement Syndrome is real. Pray for these clowns.",Sun Aug 19 01:54:34 +0000 2018
NinetynineShake,"RT @DearAuntCrabby: So, lemmy get this straight. We have to go from Brennan to Bannon, @MSNBC? That's like going from fine dining to dumpst…","So, lemmy get this straight. We have to go from Brennan to Bannon, @MSNBC? That's like going from fine dining to dumpster diving, right?",Sun Aug 19 01:54:32 +0000 2018
tamaraj59082888,RT @RealSaavedra: MSNBC panelist suggests Trump wants to round people up and murder them. https://t.co/RiPqZwe6Bd,MSNBC panelist suggests Trump wants to round people up and murder them. https://t.co/RiPqZwe6Bd,Sun Aug 19 01:54:30 +0000 2018
TruthToPower65,RT @naretevduorp: .@JohnBrennan is giving a master's class on patriotism &amp; leadership tonight on @maddow. https://t.co/rzaD1JaRal,.@JohnBrennan is giving a master's class on patriotism &amp; leadership tonight on @maddow. https://t.co/rzaD1JaRal,Sun Aug 19 01:54:30 +0000 2018
sandray8s,"RT @activist360: I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irr…","I didn't watch Ari Melber's interview of Steve Bannon, but I do have one question: 

Why the f*ck would @MSNBC give an irrelevant Nazi a platform to spew white supremacism? Have you learned nothing from the hours of free advertising you gave racist, serial lying sociopath Trump?",Sun Aug 19 01:54:30 +0000 2018
Dlars01,@Fitzyleelee @thehill That's not fair. The National Enquire has far more credibility than @CNN or @MSNBC,,Sun Aug 19 01:54:27 +0000 2018
The_Lady_Red,"RT @OMGno2trump: I have to agree.  You don't give free air time or any implied legitimacy to racists, Nazis, anarchists, blatant liars, or…","I have to agree.  You don't give free air time or any implied legitimacy to racists, Nazis, anarchists, blatant liars, or the like.   I usually have MSNBC on in the background, but I'm going to turn the channel tonight when Ari comes on.  It's my silent protest. https://t.co/Vs5fNyIiFu",Sun Aug 19 01:54:25 +0000 2018
DarthJesus,RT @WakingLifeDream: Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their ba…,"Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their backbones to speak up against somebody who clearly is not carrying out his responsibilities with any sense of purpose and common sense?”

https://t.co/PgxgX7WB68",Sun Aug 19 01:54:25 +0000 2018
DanPoyourow,@VincentWright @nicolenavega @SteveSchmidtSES @AriMelber @MSNBC Ive wanted to say that WWll line about Nazis. I'm glad someone finally said it...  and on national television. Steve Schmidt is a true patriot.,,Sun Aug 19 01:54:24 +0000 2018
JustMePammy,"RT @realDonaldTrump: .....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there i…",".....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, there is nothing so Fake as CNN &amp; MSNBC, &amp; yet I do not ask that their sick behavior be removed. I get used to it and watch with a grain of salt, or don’t watch at all..",Sun Aug 19 01:54:24 +0000 2018
cjgaudet,"RT @thebradfordfile: Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trum…","Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.
Trump is a stable genius. 😎
🤪 MSNBC is quack television.",Sun Aug 19 01:54:24 +0000 2018
asmithfilms,RT @WakingLifeDream: Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their ba…,"Brennan: “Are the Republicans on the Hill... going to wait for a disaster to happen before they actually find their backbones to speak up against somebody who clearly is not carrying out his responsibilities with any sense of purpose and common sense?”

https://t.co/PgxgX7WB68",Sun Aug 19 01:54:24 +0000 2018
absinthe,RT @SenFeinstein: Brett Kavanaugh praised the dissents that would have overturned Roe v. Wade and barred marriage equality. His views on th…,Brett Kavanaugh praised the dissents that would have overturned Roe v. Wade and barred marriage equality. His views on these fundamental freedoms are no mystery. https://t.co/twU1qvumyR,Sun Aug 19 01:54:23 +0000 2018
TMillane2,RT @JoyceWhiteVance: This sounds suspiciously like Trump is sending Manafort a message to stay strong and not cut a plea deal with the gove…,"This sounds suspiciously like Trump is sending Manafort a message to stay strong and not cut a plea deal with the government while the jury is out. Because he has, you know, that pardon power. https://t.co/xm5IgC7zTD",Sun Aug 19 01:54:22 +0000 2018
